video_id,video_path,true_label,true_value,predicted_label,predicted_value,fake_score,detection_rate,total_frames,detected_frames,prediction_correct
original_050_b121442b,D:\M1\M1 Internship\test-video-level-dataset\real\original_050_b121442b.mp4,REAL,0,FAKE,1,0.5094479576430537,1.0,22,22,False
original_079_adad95a8,D:\M1\M1 Internship\test-video-level-dataset\real\original_079_adad95a8.mp4,REAL,0,REAL,0,0.2581655784199635,1.0,15,15,True
original_080_19292832,D:\M1\M1 Internship\test-video-level-dataset\real\original_080_19292832.mp4,REAL,0,REAL,0,0.23441862044855952,1.0,20,20,True
original_087_73f129a1,D:\M1\M1 Internship\test-video-level-dataset\real\original_087_73f129a1.mp4,REAL,0,REAL,0,0.2529015659282987,1.0,13,13,True
original_107_5c172758,D:\M1\M1 Internship\test-video-level-dataset\real\original_107_5c172758.mp4,REAL,0,FAKE,1,0.7774292774822401,1.0,23,23,False
original_122_92d96842,D:\M1\M1 Internship\test-video-level-dataset\real\original_122_92d96842.mp4,REAL,0,REAL,0,0.1342566006033766,1.0,11,11,True
original_149_2b6be8fe,D:\M1\M1 Internship\test-video-level-dataset\real\original_149_2b6be8fe.mp4,REAL,0,REAL,0,0.03150041769258678,1.0,15,15,True
original_167_aa7076e0,D:\M1\M1 Internship\test-video-level-dataset\real\original_167_aa7076e0.mp4,REAL,0,REAL,0,0.013885150264416422,1.0,14,14,True
original_169_ac717b2b,D:\M1\M1 Internship\test-video-level-dataset\real\original_169_ac717b2b.mp4,REAL,0,REAL,0,0.053168272591640496,1.0,22,22,True
original_183_07b6d2b7,D:\M1\M1 Internship\test-video-level-dataset\real\original_183_07b6d2b7.mp4,REAL,0,REAL,0,0.2576025937898801,1.0,13,13,True
original_217_1891f4f1,D:\M1\M1 Internship\test-video-level-dataset\real\original_217_1891f4f1.mp4,REAL,0,REAL,0,0.16907299481957533,1.0,29,29,True
original_226_dcd6d844,D:\M1\M1 Internship\test-video-level-dataset\real\original_226_dcd6d844.mp4,REAL,0,REAL,0,0.2600620221346617,1.0,11,11,True
original_249_33261d6d,D:\M1\M1 Internship\test-video-level-dataset\real\original_249_33261d6d.mp4,REAL,0,REAL,0,0.012919468416095531,1.0,22,22,True
original_254_cb92b059,D:\M1\M1 Internship\test-video-level-dataset\real\original_254_cb92b059.mp4,REAL,0,REAL,0,0.11528445653513902,1.0,18,18,True
original_255_4424c07e,D:\M1\M1 Internship\test-video-level-dataset\real\original_255_4424c07e.mp4,REAL,0,REAL,0,0.45971722970716655,1.0,16,16,True
