video_id,video_path,true_label,true_value,predicted_label,predicted_value,fake_score,detection_rate,total_frames,detected_frames,prediction_correct
original_050_b121442b,D:\M1\M1 Internship\test-video-level-dataset\real\original_050_b121442b.mp4,REAL,0,FAKE,1,0.5216172527183186,1.0,22,22,False
original_079_adad95a8,D:\M1\M1 Internship\test-video-level-dataset\real\original_079_adad95a8.mp4,REAL,0,REAL,0,0.4962497254212697,1.0,15,15,True
original_080_19292832,D:\M1\M1 Internship\test-video-level-dataset\real\original_080_19292832.mp4,REAL,0,REAL,0,0.4883504927158356,1.0,20,20,True
original_087_73f129a1,D:\M1\M1 Internship\test-video-level-dataset\real\original_087_73f129a1.mp4,REAL,0,FAKE,1,0.5106321160609906,1.0,13,13,False
original_107_5c172758,D:\M1\M1 Internship\test-video-level-dataset\real\original_107_5c172758.mp4,REAL,0,FAKE,1,0.5123625941898512,1.0,23,23,False
original_122_92d96842,D:\M1\M1 Internship\test-video-level-dataset\real\original_122_92d96842.mp4,REAL,0,REAL,0,0.4323717707937414,1.0,11,11,True
original_149_2b6be8fe,D:\M1\M1 Internship\test-video-level-dataset\real\original_149_2b6be8fe.mp4,REAL,0,FAKE,1,0.502733564376831,1.0,15,15,False
original_167_aa7076e0,D:\M1\M1 Internship\test-video-level-dataset\real\original_167_aa7076e0.mp4,REAL,0,REAL,0,0.4104375158037458,1.0,14,14,True
original_169_ac717b2b,D:\M1\M1 Internship\test-video-level-dataset\real\original_169_ac717b2b.mp4,REAL,0,REAL,0,0.4998675747351213,1.0,22,22,True
original_183_07b6d2b7,D:\M1\M1 Internship\test-video-level-dataset\real\original_183_07b6d2b7.mp4,REAL,0,REAL,0,0.4798303727920239,1.0,13,13,True
original_217_1891f4f1,D:\M1\M1 Internship\test-video-level-dataset\real\original_217_1891f4f1.mp4,REAL,0,REAL,0,0.41192032139876794,1.0,29,29,True
original_226_dcd6d844,D:\M1\M1 Internship\test-video-level-dataset\real\original_226_dcd6d844.mp4,REAL,0,REAL,0,0.46393525329503144,1.0,11,11,True
original_249_33261d6d,D:\M1\M1 Internship\test-video-level-dataset\real\original_249_33261d6d.mp4,REAL,0,REAL,0,0.4634692221879959,1.0,22,22,True
