video_id,video_path,true_label,true_value,predicted_label,predicted_value,fake_score,detection_rate,total_frames,detected_frames,prediction_correct
original_050_b121442b,D:\M1\M1 Internship\test-video-level-dataset\real\original_050_b121442b.mp4,REAL,0,FAKE,1,0.773919171907685,1.0,22,22,False
original_079_adad95a8,D:\M1\M1 Internship\test-video-level-dataset\real\original_079_adad95a8.mp4,REAL,0,FAKE,1,0.5340753932793935,1.0,15,15,False
original_080_19292832,D:\M1\M1 Internship\test-video-level-dataset\real\original_080_19292832.mp4,REAL,0,REAL,0,0.2655734993517399,1.0,20,20,True
original_087_73f129a1,D:\M1\M1 Internship\test-video-level-dataset\real\original_087_73f129a1.mp4,REAL,0,REAL,0,0.09363412158563733,1.0,13,13,True
original_107_5c172758,D:\M1\M1 Internship\test-video-level-dataset\real\original_107_5c172758.mp4,REAL,0,REAL,0,0.4840479182160419,1.0,23,23,True
original_122_92d96842,D:\M1\M1 Internship\test-video-level-dataset\real\original_122_92d96842.mp4,REAL,0,REAL,0,0.28398212748156354,1.0,11,11,True
original_149_2b6be8fe,D:\M1\M1 Internship\test-video-level-dataset\real\original_149_2b6be8fe.mp4,REAL,0,REAL,0,0.14237809473027785,1.0,15,15,True
original_167_aa7076e0,D:\M1\M1 Internship\test-video-level-dataset\real\original_167_aa7076e0.mp4,REAL,0,REAL,0,0.04096604384747999,1.0,14,14,True
original_169_ac717b2b,D:\M1\M1 Internship\test-video-level-dataset\real\original_169_ac717b2b.mp4,REAL,0,REAL,0,0.051896824459121985,1.0,22,22,True
original_183_07b6d2b7,D:\M1\M1 Internship\test-video-level-dataset\real\original_183_07b6d2b7.mp4,REAL,0,REAL,0,0.1065245419024275,1.0,13,13,True
original_217_1891f4f1,D:\M1\M1 Internship\test-video-level-dataset\real\original_217_1891f4f1.mp4,REAL,0,REAL,0,0.20849481322963176,1.0,29,29,True
original_226_dcd6d844,D:\M1\M1 Internship\test-video-level-dataset\real\original_226_dcd6d844.mp4,REAL,0,REAL,0,0.2299924364144152,1.0,11,11,True
original_249_33261d6d,D:\M1\M1 Internship\test-video-level-dataset\real\original_249_33261d6d.mp4,REAL,0,REAL,0,0.07040902806064961,1.0,22,22,True
original_254_cb92b059,D:\M1\M1 Internship\test-video-level-dataset\real\original_254_cb92b059.mp4,REAL,0,REAL,0,0.16052953407375348,1.0,18,18,True
original_255_4424c07e,D:\M1\M1 Internship\test-video-level-dataset\real\original_255_4424c07e.mp4,REAL,0,REAL,0,0.39404204132733867,1.0,16,16,True
original_261_c0ec4410,D:\M1\M1 Internship\test-video-level-dataset\real\original_261_c0ec4410.mp4,REAL,0,FAKE,1,0.528399644752166,1.0,28,28,False
original_278_290dad1b,D:\M1\M1 Internship\test-video-level-dataset\real\original_278_290dad1b.mp4,REAL,0,REAL,0,0.18435045041971737,1.0,18,18,True
original_299_0cec04f6,D:\M1\M1 Internship\test-video-level-dataset\real\original_299_0cec04f6.mp4,REAL,0,REAL,0,0.1709929650560731,1.0,21,21,True
original_313_aa45249c,D:\M1\M1 Internship\test-video-level-dataset\real\original_313_aa45249c.mp4,REAL,0,REAL,0,0.36594127408941,1.0,17,17,True
original_354_a9d73cf1,D:\M1\M1 Internship\test-video-level-dataset\real\original_354_a9d73cf1.mp4,REAL,0,REAL,0,0.19046071989578195,1.0,16,16,True
original_375_c10e019e,D:\M1\M1 Internship\test-video-level-dataset\real\original_375_c10e019e.mp4,REAL,0,REAL,0,0.22284846268594266,1.0,15,15,True
original_376_a8952fbc,D:\M1\M1 Internship\test-video-level-dataset\real\original_376_a8952fbc.mp4,REAL,0,REAL,0,0.023444095083201926,1.0,21,21,True
original_443_d1d2b168,D:\M1\M1 Internship\test-video-level-dataset\real\original_443_d1d2b168.mp4,REAL,0,REAL,0,0.012789173092207184,1.0,46,46,True
original_465_4180354d,D:\M1\M1 Internship\test-video-level-dataset\real\original_465_4180354d.mp4,REAL,0,FAKE,1,0.5955815802920948,1.0,11,11,False
original_478_78319e1a,D:\M1\M1 Internship\test-video-level-dataset\real\original_478_78319e1a.mp4,REAL,0,REAL,0,0.011299659106880426,1.0,25,25,True
original_483_84d64da9,D:\M1\M1 Internship\test-video-level-dataset\real\original_483_84d64da9.mp4,REAL,0,FAKE,1,0.5448182938763728,1.0,13,13,False
original_506_c13a684f,D:\M1\M1 Internship\test-video-level-dataset\real\original_506_c13a684f.mp4,REAL,0,REAL,0,0.09088394600574089,1.0,23,23,True
original_512_45c03563,D:\M1\M1 Internship\test-video-level-dataset\real\original_512_45c03563.mp4,REAL,0,REAL,0,0.003593328567997863,1.0,30,30,True
original_518_b67f455f,D:\M1\M1 Internship\test-video-level-dataset\real\original_518_b67f455f.mp4,REAL,0,REAL,0,0.07933493629645776,1.0,17,17,True
original_526_28924f4c,D:\M1\M1 Internship\test-video-level-dataset\real\original_526_28924f4c.mp4,REAL,0,REAL,0,0.455640527552792,1.0,28,28,True
original_543_2c951df8,D:\M1\M1 Internship\test-video-level-dataset\real\original_543_2c951df8.mp4,REAL,0,FAKE,1,0.8484412072033718,1.0,29,29,False
original_581_15e2ccab,D:\M1\M1 Internship\test-video-level-dataset\real\original_581_15e2ccab.mp4,REAL,0,FAKE,1,0.5390997156500816,1.0,13,13,False
original_610_b422b371,D:\M1\M1 Internship\test-video-level-dataset\real\original_610_b422b371.mp4,REAL,0,REAL,0,0.17358764819800854,1.0,16,16,True
original_612_c8614ecf,D:\M1\M1 Internship\test-video-level-dataset\real\original_612_c8614ecf.mp4,REAL,0,REAL,0,0.004492218040728143,1.0,14,14,True
original_715_ee35199d,D:\M1\M1 Internship\test-video-level-dataset\real\original_715_ee35199d.mp4,REAL,0,REAL,0,0.056499006716406036,1.0,29,29,True
original_763_69d1d1fa,D:\M1\M1 Internship\test-video-level-dataset\real\original_763_69d1d1fa.mp4,REAL,0,REAL,0,0.3626182415921773,1.0,28,28,True
original_765_8d0bde79,D:\M1\M1 Internship\test-video-level-dataset\real\original_765_8d0bde79.mp4,REAL,0,REAL,0,0.014778697361739783,1.0,13,13,True
